architecture_id,month,top_k,synthetic_to_real_topk,real_to_synthetic_topk,bidirectional_fidelity,synthetic_to_real_random_baseline,real_to_synthetic_random_baseline,random_same_horizon_baseline,excess_fidelity,direction_gap,synthetic_n,real_unique_n
M2,2022-02,10,0.7210441594474731,0.5914069414138794,0.6562255504306762,0.5507734125193173,0.5509668588638306,0.550870135691574,0.10535541473910226,0.12963721803359374,100,784
M2,2022-08,1,0.7526038698614612,0.6110737323760986,0.6818388011187799,0.5574815056681511,0.5571522116661072,0.5573168586671291,0.12452194245165082,0.14153013748536258,100,1215
M2,2022-08,5,0.7341153443203127,0.6018032431602478,0.6679592937402803,0.5574815056681511,0.5571522116661072,0.5573168586671291,0.11064243507315119,0.13231210116006487,100,1215
M2,2022-08,10,0.7217664948761904,0.5953433513641357,0.6585549231201631,0.5574815056681511,0.5571522116661072,0.5573168586671291,0.10123806445303396,0.12642314351205464,100,1215
M2,2023-08,1,0.7865066559162092,0.6174861192703247,0.7019963875932669,0.5584291129885636,0.5569977760314941,0.5577134445100289,0.14428294308323797,0.16902053664588446,100,934
M2,2023-08,5,0.7280639784556189,0.6042793989181519,0.6661716886868854,0.5584291129885636,0.5569977760314941,0.5577134445100289,0.10845824417685646,0.12378457953746702,100,934
M2,2023-08,10,0.7114011394351583,0.5967888832092285,0.6540950113221934,0.5584291129885636,0.5569977760314941,0.5577134445100289,0.09638156681216448,0.11461225622592974,100,934
M2,2024-08,1,0.7421783038584047,0.6294741630554199,0.6858262334569123,0.5563581202623085,0.5580399036407471,0.5571990119515278,0.12862722150538453,0.11270414080298474,100,679
M2,2024-08,5,0.7140675959646983,0.6129229664802551,0.6634952812224767,0.5563581202623085,0.5580399036407471,0.5571990119515278,0.10629626927094893,0.10114462948444314,100,679
M2,2024-08,10,0.7005862521645753,0.6030960083007812,0.6518411302326783,0.5563581202623085,0.5580399036407471,0.5571990119515278,0.09464211828115054,0.09749024386379401,100,679
M3,2021-08,1,0.7750094626747189,0.624439537525177,0.6997245000999479,0.56906714619257,0.5690629482269287,0.5690650472097494,0.13065945289019854,0.15056992514954193,100,1796
M3,2021-08,5,0.7580158634767101,0.611432671546936,0.684724267511823,0.56906714619257,0.5690629482269287,0.5690650472097494,0.11565922030207365,0.1465831919297741,100,1796
